player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"greenguy",Qt4m7ehO_F,2025-09-11T19:41:30.655Z,,2000,,4349,2349
"greenguy",Qt4m7ehO_F,2025-09-11T19:24:58.964Z,2025-09-11T19:40:49.147Z,2000,0,0,-2000
"Krautern",ehyqeI4GS7,2025-09-11T18:45:12.229Z,2025-09-11T20:04:13.202Z,2000,0,0,-2000
"Mag",cqPRoYf5yP,2025-09-11T18:22:30.605Z,2025-09-11T18:55:24.053Z,2000,1232,0,-768
"Simen",cNApMdaPeS,2025-09-11T18:22:30.596Z,,2000,,2228,228
"greenguy",Qt4m7ehO_F,2025-09-11T18:22:30.600Z,2025-09-11T19:24:20.025Z,2000,0,0,-2000
"Gøss",8D_AjLhkhA,2025-09-11T18:22:30.591Z,,4000,,8191,4191
