player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Mag",cqPRoYf5yP,2025-08-19T22:15:34.657Z,,2000,,2381,381
"Sim",Vr6YZunABS,2025-08-19T22:01:36.343Z,2025-08-19T22:34:20.964Z,2000,4676,0,2676
"Ulrik",BRdibe6rnP,2025-08-19T21:37:23.068Z,2025-08-19T22:30:12.524Z,2000,2193,0,193
"Mag",cqPRoYf5yP,2025-08-19T21:34:37.366Z,2025-08-19T22:13:36.836Z,2000,0,0,-2000
"greenguy",nfTAzRE_ZR,2025-08-19T21:34:37.363Z,2025-08-19T22:40:02.022Z,2000,0,0,-2000
"Krautern",ehyqeI4GS7,2025-08-19T21:34:37.360Z,2025-08-19T21:59:17.142Z,2000,0,0,-2000
"Gøss",8D_AjLhkhA,2025-08-19T21:34:37.356Z,,2000,,4750,2750
