player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Gøss",8D_AjLhkhA,2025-09-02T20:29:15.511Z,2025-09-02T21:02:27.507Z,2000,0,0,-2000
"Oli",Jp1Cti1Oy3,2025-09-02T20:01:20.903Z,2025-09-02T21:00:07.749Z,2000,0,0,-2000
"Krautern",ehyqeI4GS7,2025-09-02T20:00:37.334Z,,3000,,4000,1000
"greenguy",Qt4m7ehO_F,2025-09-02T19:57:11.261Z,,2000,,6696,4696
"Oli",Jp1Cti1Oy3,2025-09-02T19:43:47.233Z,2025-09-02T20:00:37.329Z,2000,0,0,-2000
"LAsseDaSse",BxfYp6OeUJ,2025-09-02T19:43:47.236Z,2025-09-02T20:39:04.465Z,2000,4304,0,2304
"Krautern",ehyqeI4GS7,2025-09-02T19:43:47.240Z,2025-09-02T19:59:18.174Z,2000,0,0,-2000
