player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Lama",8D_AjLhkhA,2025-06-26T20:53:48.827Z,,2000,,2100,100
"Tarriern",BRdibe6rnP,2025-06-26T20:46:34.312Z,,2000,,2140,140
"YungCuck",EVlahUHEtM,2025-06-26T20:15:54.847Z,,2000,,4558,2558
"Tarriern",BRdibe6rnP,2025-06-26T20:15:54.845Z,2025-06-26T20:44:53.323Z,2000,0,0,-2000
"Lama",8D_AjLhkhA,2025-06-26T20:15:54.849Z,2025-06-26T20:52:53.122Z,2000,0,0,-2000
"Krautern",ehyqeI4GS7,2025-06-26T20:15:54.851Z,,2000,,3002,1002
