player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Oli",Jp1Cti1Oy3,2025-08-23T10:42:44.824Z,,2000,,2240,240
"greenguy",dfrMVnW4nY,2025-08-23T10:42:44.822Z,2025-08-23T11:08:20.545Z,2000,0,0,-2000
"Krautern",ehyqeI4GS7,2025-08-23T10:42:44.819Z,,2000,,3760,1760
