player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Gus",wLc3YwHZdZ,2025-06-19T20:21:13.125Z,2025-06-19T21:19:35.442Z,3000,0,0,-3000
"Bendik",5yKYCCPlhZ,2025-06-19T19:44:13.173Z,2025-06-19T20:12:26.792Z,2000,2264,0,264
"TheLimpReaper",BRdibe6rnP,2025-06-19T18:54:17.045Z,,1477,,5108,3631
"Simmi",8D_AjLhkhA,2025-06-19T18:19:02.086Z,,4000,,7640,3640
"TheLimpReaper",BRdibe6rnP,2025-06-19T18:19:02.071Z,2025-06-19T18:49:42.022Z,2000,1477,0,-523
"YungCuck",QVu4h9yiol,2025-06-19T18:19:02.059Z,2025-06-19T20:53:13.403Z,2000,4302,0,2302
"Møllebølle",C-cWDKRhWw,2025-06-19T18:19:02.106Z,,3000,,3000,0
"Gus",wLc3YwHZdZ,2025-06-19T18:19:02.078Z,2025-06-19T20:17:45.076Z,2000,0,0,-2000
"Krautern",ehyqeI4GS7,2025-06-19T18:19:02.090Z,,6000,,1686,-4314
