player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Lama",8D_AjLhkhA,2025-07-01T20:59:59.177Z,,2000,,13212,11212
"YungCuck",EVlahUHEtM,2025-07-01T19:52:31.575Z,,4000,,3113,-887
"Bendik",jYM-AUdVwV,2025-07-01T19:38:38.473Z,2025-07-01T20:59:10.944Z,3396,2003,0,-1393
"Lama",8D_AjLhkhA,2025-07-01T19:36:57.482Z,2025-07-01T20:57:42.278Z,2000,0,0,-2000
"Tarriern",BRdibe6rnP,2025-07-01T19:36:57.480Z,2025-07-01T21:36:36.826Z,2000,0,0,-2000
"Møllzy",C-cWDKRhWw,2025-07-01T19:36:57.478Z,2025-07-01T20:44:39.736Z,2932,0,0,-2932
"Øde",wLc3YwHZdZ,2025-07-01T19:36:57.475Z,2025-07-01T21:35:14.236Z,2000,0,0,-2000
