player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Gaute",6c4NAIQQ5-,2025-09-09T19:31:51.209Z,2025-09-09T20:54:00.969Z,2000,1770,0,-230
"Krautern",ehyqeI4GS7,2025-09-09T19:25:41.533Z,,3000,,2212,-788
"Gøss",8D_AjLhkhA,2025-09-09T19:04:15.130Z,,2000,,6158,4158
"greenguy",Qt4m7ehO_F,2025-09-09T19:01:56.790Z,2025-09-09T19:59:38.323Z,2000,0,0,-2000
"mag",cqPRoYf5yP,2025-09-09T18:41:30.514Z,,2000,,3848,1848
"Oli",QsOTW2F-8L,2025-09-09T18:41:30.517Z,2025-09-09T19:23:32.740Z,2000,0,0,-2000
"greenguy",Qt4m7ehO_F,2025-09-09T18:41:30.522Z,2025-09-09T19:00:39.580Z,2000,0,0,-2000
"lasse",BxfYp6OeUJ,2025-09-09T18:41:30.508Z,2025-09-09T19:20:50.235Z,2000,5012,0,3012
"Gøss",8D_AjLhkhA,2025-09-09T18:41:30.501Z,2025-09-09T19:01:56.786Z,2000,0,0,-2000
