player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Tarriern",BRdibe6rnP,2025-07-16T20:18:51.705Z,,2000,,4028,2028
"Tarriern",BRdibe6rnP,2025-07-16T20:09:17.744Z,2025-07-16T20:18:05.314Z,2000,0,0,-2000
"Simen",wLc3YwHZdZ,2025-07-16T19:43:41.129Z,,2000,,5252,3252
"Tarriern",BRdibe6rnP,2025-07-16T19:43:41.122Z,2025-07-16T20:08:39.582Z,2000,0,0,-2000
"Lama",8D_AjLhkhA,2025-07-16T19:43:41.127Z,,2000,,2003,3
"Krautern",ehyqeI4GS7,2025-07-16T19:43:41.124Z,,3000,,1717,-1283
