player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"greenguy",Qt4m7ehO_F,2025-08-30T20:57:25.728Z,2025-08-30T21:13:39.177Z,2000,0,0,-2000
"greenguy",Qt4m7ehO_F,2025-08-30T19:53:42.667Z,2025-08-30T20:46:36.824Z,2000,0,0,-2000
"Mag",wLr9zY_WXL,2025-08-30T16:20:07.169Z,2025-08-30T16:29:33.345Z,2000,0,0,-2000
"Oli",Jp1Cti1Oy3,2025-08-30T16:20:07.194Z,,2000,,3738,1738
"greenguy",Qt4m7ehO_F,2025-08-30T16:20:07.163Z,2025-08-30T19:52:25.768Z,2000,0,0,-2000
"Krautern",ehyqeI4GS7,2025-08-30T16:20:07.201Z,,2000,,8262,6262
