player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"lAsSe",BxfYp6OeUJ,2025-08-24T19:45:02.935Z,,2000,,2742,742
"greenguy",nfTAzRE_ZR,2025-08-24T19:19:05.930Z,,2000,,1209,-791
"Oli",Jp1Cti1Oy3,2025-08-24T18:51:53.132Z,,2000,,1584,-416
"Simen",2j_qbJmf94,2025-08-24T18:48:47.467Z,,2000,,4090,2090
"gøss",8D_AjLhkhA,2025-08-24T18:48:47.455Z,,2000,,2683,683
"greenguy",nfTAzRE_ZR,2025-08-24T18:48:47.459Z,2025-08-24T19:17:57.574Z,2000,0,0,-2000
"Krautern",ehyqeI4GS7,2025-08-24T18:48:47.463Z,,2000,,1692,-308
