player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"mag",cqPRoYf5yP,2025-08-21T21:10:29.008Z,2025-08-21T21:25:20.071Z,2000,0,0,-2000
"Nitty dicky",2MB8pQo5Kw,2025-08-21T20:32:33.934Z,2025-08-21T21:16:36.597Z,2000,3971,0,1971
"Oli",rtgOa4cU1P,2025-08-21T20:20:59.202Z,2025-08-21T21:07:20.725Z,2000,0,0,-2000
"Oli",rtgOa4cU1P,2025-08-21T20:11:21.744Z,2025-08-21T20:20:19.870Z,2000,0,0,-2000
"greenguy",nfTAzRE_ZR,2025-08-21T20:11:21.749Z,,2000,,4685,2685
"Krautern",ehyqeI4GS7,2025-08-21T20:11:21.737Z,,3000,,4344,1344
