player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Gguy",Qt4m7ehO_F,2025-09-07T19:55:18.706Z,,2000,,4113,2113
"Gguy",Qt4m7ehO_F,2025-09-07T19:32:56.949Z,2025-09-07T19:52:46.017Z,2660,0,0,-2660
"Gøss",8D_AjLhkhA,2025-09-07T19:32:56.946Z,,2000,,4636,2636
"Semen",cNApMdaPeS,2025-09-07T18:56:46.303Z,,3715,,4145,430
"Krautern",ehyqeI4GS7,2025-09-07T17:36:32.780Z,,2000,,3074,1074
"Simen",zsnRECCUIK,2025-09-07T17:31:00.996Z,2025-09-07T18:56:46.294Z,2000,3745,0,1745
"greenguy",nfTAzRE_ZR,2025-09-07T16:47:14.657Z,2025-09-07T19:30:52.636Z,2000,662,0,-1338
"Gøss",8D_AjLhkhA,2025-09-07T16:47:14.653Z,2025-09-07T19:08:32.878Z,2000,0,0,-2000
"Krautern",ehyqeI4GS7,2025-09-07T16:47:14.648Z,2025-09-07T17:35:41.612Z,2000,0,0,-2000
