player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"greenguy",Bcp_YyYUW_,2025-08-10T22:23:08.903Z,2025-08-10T22:28:04.822Z,2000,0,0,-2000
"greenguy",Bcp_YyYUW_,2025-08-10T22:05:30.708Z,2025-08-10T22:21:58.998Z,2000,0,0,-2000
"simen",43RLVYD2U4,2025-08-10T21:48:27.977Z,,2000,,6572,4572
"mag",Qd4daMbTQ4,2025-08-10T21:41:30.233Z,2025-08-10T22:28:04.818Z,2000,0,0,-2000
"greenguy",Bcp_YyYUW_,2025-08-10T21:38:54.499Z,2025-08-10T22:03:16.209Z,2000,0,0,-2000
"mag",Qd4daMbTQ4,2025-08-10T21:38:54.497Z,2025-08-10T21:41:04.393Z,2000,0,0,-2000
"Krautern",ehyqeI4GS7,2025-08-10T21:38:54.495Z,,2000,,7428,5428
