player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"greenguy",Qt4m7ehO_F,2025-09-09T12:12:53.367Z,2025-09-09T12:51:48.664Z,2000,0,0,-2000
"Gøss",8D_AjLhkhA,2025-09-09T12:11:55.804Z,,2000,,2749,749
"Krautern",ehyqeI4GS7,2025-09-09T12:11:55.807Z,,2000,,1904,-96
"Simen",cNApMdaPeS,2025-09-09T12:11:55.809Z,,2000,,3347,1347
