player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Simen",wLc3YwHZdZ,2025-08-25T16:21:07.854Z,,2000,,2024,24
"Simen",wLc3YwHZdZ,2025-08-25T15:54:34.136Z,2025-08-25T16:18:29.304Z,2000,0,0,-2000
"Simen",wLc3YwHZdZ,2025-08-25T15:44:55.979Z,2025-08-25T15:54:16.515Z,2000,0,0,-2000
"Krautern",ehyqeI4GS7,2025-08-25T15:44:02.816Z,,2000,,2703,703
"Oli",Jp1Cti1Oy3,2025-08-25T15:34:57.970Z,,2000,,4060,2060
"mag",cqPRoYf5yP,2025-08-25T15:34:57.973Z,2025-08-25T16:46:36.250Z,2000,2407,0,407
"greenguy",dfrMVnW4nY,2025-08-25T15:34:57.975Z,,2000,,4806,2806
"Krautern",ehyqeI4GS7,2025-08-25T15:34:57.967Z,2025-08-25T15:43:41.444Z,2000,0,0,-2000
