player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Tarriern",BRdibe6rnP,2025-07-15T20:23:39.699Z,,2000,,5122,3122
"Tarriern",BRdibe6rnP,2025-07-15T20:15:38.505Z,2025-07-15T20:21:16.106Z,2000,0,0,-2000
"YungCuck",HsAPi63ZUs,2025-07-15T20:03:21.609Z,2025-07-15T20:41:05.494Z,2000,1466,0,-534
"Lama",8D_AjLhkhA,2025-07-15T18:41:44.666Z,,2000,,2312,312
"Tarriern",BRdibe6rnP,2025-07-15T18:26:31.709Z,2025-07-15T20:14:30.690Z,2000,0,0,-2000
"Simen",wLc3YwHZdZ,2025-07-15T18:22:49.573Z,,2000,,4011,2011
"YungCuck",HsAPi63ZUs,2025-07-15T18:22:49.571Z,2025-07-15T20:00:39.013Z,2000,0,0,-2000
"Tarriern",BRdibe6rnP,2025-07-15T18:22:49.577Z,2025-07-15T18:25:16.424Z,2000,0,0,-2000
"Krautern",ehyqeI4GS7,2025-07-15T18:22:49.568Z,,2000,,5089,3089
